Rack: AiN_Training_P01
A01	AiN001
B01	AiN002
C01	AiN003
D01	AiN004
E01	AiN005
F01	AiN006
G01	AiN007
H01	AiN008
A02	AiN009
B02	AiN010
C02	AiN011
D02	AiN012
E02	AiN013
F02	AiN014
G02	AiN015
H02	AiN016
A03	AiN017
B03	AiN018
C03	AiN019
D03	AiN020
E03	AiN021
F03	AiN022
G03	AiN023
H03	AiN024
A04	AiN025
B04	AiN026
C04	AiN027
D04	AiN028
E04	AiN029
F04	AiN030
G04	AiN031
H04	AiN032
A05	AiN033
B05	AiN034
C05	AiN035
D05	AiN036
E05	AiN037
F05	AiN038
G05	AiN039
H05	AiN040
A06	AiN041
B06	AiN042
C06	AiN043
D06	AiN044
E06	AiN045
F06	AiN046
G06	AiN047
H06	AiN048
A07	AiN049
B07	AiN050
C07	AiN051
D07	AiN052
E07	AiN053
F07	AiN054
G07	AiN055
H07	AiN056
A08	AiN057
B08	AiN058
C08	AiN059
D08	AiN060
E08	AiN061
F08	AiN062
G08	AiN063
H08	AiN064
A09	AiN065
B09	AiN066
C09	AiN067
D09	AiN068
E09	AiN069
F09	AiN070
G09	AiN071
H09	AiN072
A10	AiN073
B10	AiN074
C10	AiN075
D10	AiN076
E10	AiN077
F10	AiN078
G10	AiN079
H10	AiN080
A11	AiN081
B11	AiN082
C11	AiN083
D11	AiN084
E11	AiN085
F11	AiN086
G11	AiN087
H11	AiN088
A12	AiN089
B12	AiN090
C12	AiN091
D12	AiN092
E12	AiN093
F12	AiN094
G12	No Tube
H12	No Tube
