Rack: AmD_Training_P01
A01	AmD001
B01	AmD002
C01	AmD003
D01	AmD004
E01	AmD005
F01	AmD006
G01	AmD007
H01	AmD008
A02	AmD009
B02	AmD010
C02	AmD011
D02	AmD012
E02	AmD013
F02	AmD014
G02	AmD015
H02	AmD016
A03	AmD017
B03	AmD018
C03	AmD019
D03	AmD020
E03	AmD021
F03	AmD022
G03	AmD023
H03	AmD024
A04	AmD025
B04	AmD026
C04	AmD027
D04	AmD028
E04	AmD029
F04	AmD030
G04	AmD031
H04	AmD032
A05	AmD033
B05	AmD034
C05	AmD035
D05	AmD036
E05	AmD037
F05	AmD038
G05	AmD039
H05	AmD040
A06	AmD041
B06	AmD042
C06	AmD043
D06	AmD044
E06	AmD045
F06	AmD046
G06	AmD047
H06	AmD048
A07	AmD049
B07	AmD050
C07	AmD051
D07	AmD052
E07	AmD053
F07	AmD054
G07	AmD055
H07	AmD056
A08	AmD057
B08	AmD058
C08	AmD059
D08	AmD060
E08	AmD061
F08	AmD062
G08	AmD063
H08	AmD064
A09	AmD065
B09	AmD066
C09	AmD067
D09	AmD068
E09	AmD069
F09	AmD070
G09	AmD071
H09	AmD072
A10	AmD073
B10	AmD074
C10	AmD075
D10	AmD076
E10	AmD077
F10	AmD078
G10	AmD079
H10	AmD080
A11	AmD081
B11	AmD082
C11	AmD083
D11	AmD084
E11	AmD085
F11	AmD086
G11	AmD087
H11	AmD088
A12	AmD089
B12	AmD090
C12	AmD091
D12	AmD092
E12	AmD093
F12	AmD094
G12	No Tube
H12	No Tube
