Rack: AnK_Training_P01
A01	AnK001
B01	AnK002
C01	AnK003
D01	AnK004
E01	AnK005
F01	AnK006
G01	AnK007
H01	AnK008
A02	AnK009
B02	AnK010
C02	AnK011
D02	AnK012
E02	AnK013
F02	AnK014
G02	AnK015
H02	AnK016
A03	AnK017
B03	AnK018
C03	AnK019
D03	AnK020
E03	AnK021
F03	AnK022
G03	AnK023
H03	AnK024
A04	AnK025
B04	AnK026
C04	AnK027
D04	AnK028
E04	AnK029
F04	AnK030
G04	AnK031
H04	AnK032
A05	AnK033
B05	AnK034
C05	AnK035
D05	AnK036
E05	AnK037
F05	AnK038
G05	AnK039
H05	AnK040
A06	AnK041
B06	AnK042
C06	AnK043
D06	AnK044
E06	AnK045
F06	AnK046
G06	AnK047
H06	AnK048
A07	AnK049
B07	AnK050
C07	AnK051
D07	AnK052
E07	AnK053
F07	AnK054
G07	AnK055
H07	AnK056
A08	AnK057
B08	AnK058
C08	AnK059
D08	AnK060
E08	AnK061
F08	AnK062
G08	AnK063
H08	AnK064
A09	AnK065
B09	AnK066
C09	AnK067
D09	AnK068
E09	AnK069
F09	AnK070
G09	AnK071
H09	AnK072
A10	AnK073
B10	AnK074
C10	AnK075
D10	AnK076
E10	AnK077
F10	AnK078
G10	AnK079
H10	AnK080
A11	AnK081
B11	AnK082
C11	AnK083
D11	AnK084
E11	AnK085
F11	AnK086
G11	AnK087
H11	AnK088
A12	AnK089
B12	AnK090
C12	AnK091
D12	AnK092
E12	AnK093
F12	AnK094
G12	No Tube
H12	No Tube
