Rack: AnP_Training_P01
A01	AnP001
B01	AnP002
C01	AnP003
D01	AnP004
E01	AnP005
F01	AnP006
G01	AnP007
H01	AnP008
A02	AnP009
B02	AnP010
C02	AnP011
D02	AnP012
E02	AnP013
F02	AnP014
G02	AnP015
H02	AnP016
A03	AnP017
B03	AnP018
C03	AnP019
D03	AnP020
E03	AnP021
F03	AnP022
G03	AnP023
H03	AnP024
A04	AnP025
B04	AnP026
C04	AnP027
D04	AnP028
E04	AnP029
F04	AnP030
G04	AnP031
H04	AnP032
A05	AnP033
B05	AnP034
C05	AnP035
D05	AnP036
E05	AnP037
F05	AnP038
G05	AnP039
H05	AnP040
A06	AnP041
B06	AnP042
C06	AnP043
D06	AnP044
E06	AnP045
F06	AnP046
G06	AnP047
H06	AnP048
A07	AnP049
B07	AnP050
C07	AnP051
D07	AnP052
E07	AnP053
F07	AnP054
G07	AnP055
H07	AnP056
A08	AnP057
B08	AnP058
C08	AnP059
D08	AnP060
E08	AnP061
F08	AnP062
G08	AnP063
H08	AnP064
A09	AnP065
B09	AnP066
C09	AnP067
D09	AnP068
E09	AnP069
F09	AnP070
G09	AnP071
H09	AnP072
A10	AnP073
B10	AnP074
C10	AnP075
D10	AnP076
E10	AnP077
F10	AnP078
G10	AnP079
H10	AnP080
A11	AnP081
B11	AnP082
C11	AnP083
D11	AnP084
E11	AnP085
F11	AnP086
G11	AnP087
H11	AnP088
A12	AnP089
B12	AnP090
C12	AnP091
D12	AnP092
E12	AnP093
F12	AnP094
G12	No Tube
H12	No Tube
