Rack: BeD_Training_P01
A01	BeD001
B01	BeD002
C01	BeD003
D01	BeD004
E01	BeD005
F01	BeD006
G01	BeD007
H01	BeD008
A02	BeD009
B02	BeD010
C02	BeD011
D02	BeD012
E02	BeD013
F02	BeD014
G02	BeD015
H02	BeD016
A03	BeD017
B03	BeD018
C03	BeD019
D03	BeD020
E03	BeD021
F03	BeD022
G03	BeD023
H03	BeD024
A04	BeD025
B04	BeD026
C04	BeD027
D04	BeD028
E04	BeD029
F04	BeD030
G04	BeD031
H04	BeD032
A05	BeD033
B05	BeD034
C05	BeD035
D05	BeD036
E05	BeD037
F05	BeD038
G05	BeD039
H05	BeD040
A06	BeD041
B06	BeD042
C06	BeD043
D06	BeD044
E06	BeD045
F06	BeD046
G06	BeD047
H06	BeD048
A07	BeD049
B07	BeD050
C07	BeD051
D07	BeD052
E07	BeD053
F07	BeD054
G07	BeD055
H07	BeD056
A08	BeD057
B08	BeD058
C08	BeD059
D08	BeD060
E08	BeD061
F08	BeD062
G08	BeD063
H08	BeD064
A09	BeD065
B09	BeD066
C09	BeD067
D09	BeD068
E09	BeD069
F09	BeD070
G09	BeD071
H09	BeD072
A10	BeD073
B10	BeD074
C10	BeD075
D10	BeD076
E10	BeD077
F10	BeD078
G10	BeD079
H10	BeD080
A11	BeD081
B11	BeD082
C11	BeD083
D11	BeD084
E11	BeD085
F11	BeD086
G11	BeD087
H11	BeD088
A12	BeD089
B12	BeD090
C12	BeD091
D12	BeD092
E12	BeD093
F12	BeD094
G12	No Tube
H12	No Tube
