Rack: CaD_Training_P01
A01	CaD001
B01	CaD002
C01	CaD003
D01	CaD004
E01	CaD005
F01	CaD006
G01	CaD007
H01	CaD008
A02	CaD009
B02	CaD010
C02	CaD011
D02	CaD012
E02	CaD013
F02	CaD014
G02	CaD015
H02	CaD016
A03	CaD017
B03	CaD018
C03	CaD019
D03	CaD020
E03	CaD021
F03	CaD022
G03	CaD023
H03	CaD024
A04	CaD025
B04	CaD026
C04	CaD027
D04	CaD028
E04	CaD029
F04	CaD030
G04	CaD031
H04	CaD032
A05	CaD033
B05	CaD034
C05	CaD035
D05	CaD036
E05	CaD037
F05	CaD038
G05	CaD039
H05	CaD040
A06	CaD041
B06	CaD042
C06	CaD043
D06	CaD044
E06	CaD045
F06	CaD046
G06	CaD047
H06	CaD048
A07	CaD049
B07	CaD050
C07	CaD051
D07	CaD052
E07	CaD053
F07	CaD054
G07	CaD055
H07	CaD056
A08	CaD057
B08	CaD058
C08	CaD059
D08	CaD060
E08	CaD061
F08	CaD062
G08	CaD063
H08	CaD064
A09	CaD065
B09	CaD066
C09	CaD067
D09	CaD068
E09	CaD069
F09	CaD070
G09	CaD071
H09	CaD072
A10	CaD073
B10	CaD074
C10	CaD075
D10	CaD076
E10	CaD077
F10	CaD078
G10	CaD079
H10	CaD080
A11	CaD081
B11	CaD082
C11	CaD083
D11	CaD084
E11	CaD085
F11	CaD086
G11	CaD087
H11	CaD088
A12	CaD089
B12	CaD090
C12	CaD091
D12	CaD092
E12	CaD093
F12	CaD094
G12	No Tube
H12	No Tube
