Rack: CaP_Training_P01
A01	CaP001
B01	CaP002
C01	CaP003
D01	CaP004
E01	CaP005
F01	CaP006
G01	CaP007
H01	CaP008
A02	CaP009
B02	CaP010
C02	CaP011
D02	CaP012
E02	CaP013
F02	CaP014
G02	CaP015
H02	CaP016
A03	CaP017
B03	CaP018
C03	CaP019
D03	CaP020
E03	CaP021
F03	CaP022
G03	CaP023
H03	CaP024
A04	CaP025
B04	CaP026
C04	CaP027
D04	CaP028
E04	CaP029
F04	CaP030
G04	CaP031
H04	CaP032
A05	CaP033
B05	CaP034
C05	CaP035
D05	CaP036
E05	CaP037
F05	CaP038
G05	CaP039
H05	CaP040
A06	CaP041
B06	CaP042
C06	CaP043
D06	CaP044
E06	CaP045
F06	CaP046
G06	CaP047
H06	CaP048
A07	CaP049
B07	CaP050
C07	CaP051
D07	CaP052
E07	CaP053
F07	CaP054
G07	CaP055
H07	CaP056
A08	CaP057
B08	CaP058
C08	CaP059
D08	CaP060
E08	CaP061
F08	CaP062
G08	CaP063
H08	CaP064
A09	CaP065
B09	CaP066
C09	CaP067
D09	CaP068
E09	CaP069
F09	CaP070
G09	CaP071
H09	CaP072
A10	CaP073
B10	CaP074
C10	CaP075
D10	CaP076
E10	CaP077
F10	CaP078
G10	CaP079
H10	CaP080
A11	CaP081
B11	CaP082
C11	CaP083
D11	CaP084
E11	CaP085
F11	CaP086
G11	CaP087
H11	CaP088
A12	CaP089
B12	CaP090
C12	CaP091
D12	CaP092
E12	CaP093
F12	CaP094
G12	No Tube
H12	No Tube
