Rack: EsL_Training_P01
A01	EsL001
B01	EsL002
C01	EsL003
D01	EsL004
E01	EsL005
F01	EsL006
G01	EsL007
H01	EsL008
A02	EsL009
B02	EsL010
C02	EsL011
D02	EsL012
E02	EsL013
F02	EsL014
G02	EsL015
H02	EsL016
A03	EsL017
B03	EsL018
C03	EsL019
D03	EsL020
E03	EsL021
F03	EsL022
G03	EsL023
H03	EsL024
A04	EsL025
B04	EsL026
C04	EsL027
D04	EsL028
E04	EsL029
F04	EsL030
G04	EsL031
H04	EsL032
A05	EsL033
B05	EsL034
C05	EsL035
D05	EsL036
E05	EsL037
F05	EsL038
G05	EsL039
H05	EsL040
A06	EsL041
B06	EsL042
C06	EsL043
D06	EsL044
E06	EsL045
F06	EsL046
G06	EsL047
H06	EsL048
A07	EsL049
B07	EsL050
C07	EsL051
D07	EsL052
E07	EsL053
F07	EsL054
G07	EsL055
H07	EsL056
A08	EsL057
B08	EsL058
C08	EsL059
D08	EsL060
E08	EsL061
F08	EsL062
G08	EsL063
H08	EsL064
A09	EsL065
B09	EsL066
C09	EsL067
D09	EsL068
E09	EsL069
F09	EsL070
G09	EsL071
H09	EsL072
A10	EsL073
B10	EsL074
C10	EsL075
D10	EsL076
E10	EsL077
F10	EsL078
G10	EsL079
H10	EsL080
A11	EsL081
B11	EsL082
C11	EsL083
D11	EsL084
E11	EsL085
F11	EsL086
G11	EsL087
H11	EsL088
A12	EsL089
B12	EsL090
C12	EsL091
D12	EsL092
E12	EsL093
F12	EsL094
G12	No Tube
H12	No Tube
