Rack: GeW_Training_P01
A01	GeW001
B01	GeW002
C01	GeW003
D01	GeW004
E01	GeW005
F01	GeW006
G01	GeW007
H01	GeW008
A02	GeW009
B02	GeW010
C02	GeW011
D02	GeW012
E02	GeW013
F02	GeW014
G02	GeW015
H02	GeW016
A03	GeW017
B03	GeW018
C03	GeW019
D03	GeW020
E03	GeW021
F03	GeW022
G03	GeW023
H03	GeW024
A04	GeW025
B04	GeW026
C04	GeW027
D04	GeW028
E04	GeW029
F04	GeW030
G04	GeW031
H04	GeW032
A05	GeW033
B05	GeW034
C05	GeW035
D05	GeW036
E05	GeW037
F05	GeW038
G05	GeW039
H05	GeW040
A06	GeW041
B06	GeW042
C06	GeW043
D06	GeW044
E06	GeW045
F06	GeW046
G06	GeW047
H06	GeW048
A07	GeW049
B07	GeW050
C07	GeW051
D07	GeW052
E07	GeW053
F07	GeW054
G07	GeW055
H07	GeW056
A08	GeW057
B08	GeW058
C08	GeW059
D08	GeW060
E08	GeW061
F08	GeW062
G08	GeW063
H08	GeW064
A09	GeW065
B09	GeW066
C09	GeW067
D09	GeW068
E09	GeW069
F09	GeW070
G09	GeW071
H09	GeW072
A10	GeW073
B10	GeW074
C10	GeW075
D10	GeW076
E10	GeW077
F10	GeW078
G10	GeW079
H10	GeW080
A11	GeW081
B11	GeW082
C11	GeW083
D11	GeW084
E11	GeW085
F11	GeW086
G11	GeW087
H11	GeW088
A12	GeW089
B12	GeW090
C12	GeW091
D12	GeW092
E12	GeW093
F12	GeW094
G12	No Tube
H12	No Tube
