Rack: HeW_Training_P01
A01	HeW001
B01	HeW002
C01	HeW003
D01	HeW004
E01	HeW005
F01	HeW006
G01	HeW007
H01	HeW008
A02	HeW009
B02	HeW010
C02	HeW011
D02	HeW012
E02	HeW013
F02	HeW014
G02	HeW015
H02	HeW016
A03	HeW017
B03	HeW018
C03	HeW019
D03	HeW020
E03	HeW021
F03	HeW022
G03	HeW023
H03	HeW024
A04	HeW025
B04	HeW026
C04	HeW027
D04	HeW028
E04	HeW029
F04	HeW030
G04	HeW031
H04	HeW032
A05	HeW033
B05	HeW034
C05	HeW035
D05	HeW036
E05	HeW037
F05	HeW038
G05	HeW039
H05	HeW040
A06	HeW041
B06	HeW042
C06	HeW043
D06	HeW044
E06	HeW045
F06	HeW046
G06	HeW047
H06	HeW048
A07	HeW049
B07	HeW050
C07	HeW051
D07	HeW052
E07	HeW053
F07	HeW054
G07	HeW055
H07	HeW056
A08	HeW057
B08	HeW058
C08	HeW059
D08	HeW060
E08	HeW061
F08	HeW062
G08	HeW063
H08	HeW064
A09	HeW065
B09	HeW066
C09	HeW067
D09	HeW068
E09	HeW069
F09	HeW070
G09	HeW071
H09	HeW072
A10	HeW073
B10	HeW074
C10	HeW075
D10	HeW076
E10	HeW077
F10	HeW078
G10	HeW079
H10	HeW080
A11	HeW081
B11	HeW082
C11	HeW083
D11	HeW084
E11	HeW085
F11	HeW086
G11	HeW087
H11	HeW088
A12	HeW089
B12	HeW090
C12	HeW091
D12	HeW092
E12	HeW093
F12	HeW094
G12	No Tube
H12	No Tube
