Rack: JoZ_Training_P01
A01	JoZ001
B01	JoZ002
C01	JoZ003
D01	JoZ004
E01	JoZ005
F01	JoZ006
G01	JoZ007
H01	JoZ008
A02	JoZ009
B02	JoZ010
C02	JoZ011
D02	JoZ012
E02	JoZ013
F02	JoZ014
G02	JoZ015
H02	JoZ016
A03	JoZ017
B03	JoZ018
C03	JoZ019
D03	JoZ020
E03	JoZ021
F03	JoZ022
G03	JoZ023
H03	JoZ024
A04	JoZ025
B04	JoZ026
C04	JoZ027
D04	JoZ028
E04	JoZ029
F04	JoZ030
G04	JoZ031
H04	JoZ032
A05	JoZ033
B05	JoZ034
C05	JoZ035
D05	JoZ036
E05	JoZ037
F05	JoZ038
G05	JoZ039
H05	JoZ040
A06	JoZ041
B06	JoZ042
C06	JoZ043
D06	JoZ044
E06	JoZ045
F06	JoZ046
G06	JoZ047
H06	JoZ048
A07	JoZ049
B07	JoZ050
C07	JoZ051
D07	JoZ052
E07	JoZ053
F07	JoZ054
G07	JoZ055
H07	JoZ056
A08	JoZ057
B08	JoZ058
C08	JoZ059
D08	JoZ060
E08	JoZ061
F08	JoZ062
G08	JoZ063
H08	JoZ064
A09	JoZ065
B09	JoZ066
C09	JoZ067
D09	JoZ068
E09	JoZ069
F09	JoZ070
G09	JoZ071
H09	JoZ072
A10	JoZ073
B10	JoZ074
C10	JoZ075
D10	JoZ076
E10	JoZ077
F10	JoZ078
G10	JoZ079
H10	JoZ080
A11	JoZ081
B11	JoZ082
C11	JoZ083
D11	JoZ084
E11	JoZ085
F11	JoZ086
G11	JoZ087
H11	JoZ088
A12	JoZ089
B12	JoZ090
C12	JoZ091
D12	JoZ092
E12	JoZ093
F12	JoZ094
G12	No Tube
H12	No Tube
