Rack: KeM_Training_P01
A01	KeM001
B01	KeM002
C01	KeM003
D01	KeM004
E01	KeM005
F01	KeM006
G01	KeM007
H01	KeM008
A02	KeM009
B02	KeM010
C02	KeM011
D02	KeM012
E02	KeM013
F02	KeM014
G02	KeM015
H02	KeM016
A03	KeM017
B03	KeM018
C03	KeM019
D03	KeM020
E03	KeM021
F03	KeM022
G03	KeM023
H03	KeM024
A04	KeM025
B04	KeM026
C04	KeM027
D04	KeM028
E04	KeM029
F04	KeM030
G04	KeM031
H04	KeM032
A05	KeM033
B05	KeM034
C05	KeM035
D05	KeM036
E05	KeM037
F05	KeM038
G05	KeM039
H05	KeM040
A06	KeM041
B06	KeM042
C06	KeM043
D06	KeM044
E06	KeM045
F06	KeM046
G06	KeM047
H06	KeM048
A07	KeM049
B07	KeM050
C07	KeM051
D07	KeM052
E07	KeM053
F07	KeM054
G07	KeM055
H07	KeM056
A08	KeM057
B08	KeM058
C08	KeM059
D08	KeM060
E08	KeM061
F08	KeM062
G08	KeM063
H08	KeM064
A09	KeM065
B09	KeM066
C09	KeM067
D09	KeM068
E09	KeM069
F09	KeM070
G09	KeM071
H09	KeM072
A10	KeM073
B10	KeM074
C10	KeM075
D10	KeM076
E10	KeM077
F10	KeM078
G10	KeM079
H10	KeM080
A11	KeM081
B11	KeM082
C11	KeM083
D11	KeM084
E11	KeM085
F11	KeM086
G11	KeM087
H11	KeM088
A12	KeM089
B12	KeM090
C12	KeM091
D12	KeM092
E12	KeM093
F12	KeM094
G12	No Tube
H12	No Tube
