Rack: MaM_Training_P01
A01	MaM001
B01	MaM002
C01	MaM003
D01	MaM004
E01	MaM005
F01	MaM006
G01	MaM007
H01	MaM008
A02	MaM009
B02	MaM010
C02	MaM011
D02	MaM012
E02	MaM013
F02	MaM014
G02	MaM015
H02	MaM016
A03	MaM017
B03	MaM018
C03	MaM019
D03	MaM020
E03	MaM021
F03	MaM022
G03	MaM023
H03	MaM024
A04	MaM025
B04	MaM026
C04	MaM027
D04	MaM028
E04	MaM029
F04	MaM030
G04	MaM031
H04	MaM032
A05	MaM033
B05	MaM034
C05	MaM035
D05	MaM036
E05	MaM037
F05	MaM038
G05	MaM039
H05	MaM040
A06	MaM041
B06	MaM042
C06	MaM043
D06	MaM044
E06	MaM045
F06	MaM046
G06	MaM047
H06	MaM048
A07	MaM049
B07	MaM050
C07	MaM051
D07	MaM052
E07	MaM053
F07	MaM054
G07	MaM055
H07	MaM056
A08	MaM057
B08	MaM058
C08	MaM059
D08	MaM060
E08	MaM061
F08	MaM062
G08	MaM063
H08	MaM064
A09	MaM065
B09	MaM066
C09	MaM067
D09	MaM068
E09	MaM069
F09	MaM070
G09	MaM071
H09	MaM072
A10	MaM073
B10	MaM074
C10	MaM075
D10	MaM076
E10	MaM077
F10	MaM078
G10	MaM079
H10	MaM080
A11	MaM081
B11	MaM082
C11	MaM083
D11	MaM084
E11	MaM085
F11	MaM086
G11	MaM087
H11	MaM088
A12	MaM089
B12	MaM090
C12	MaM091
D12	MaM092
E12	MaM093
F12	MaM094
G12	No Tube
H12	No Tube
