Rack: MeM_Training_P01
A01	MeM001
B01	MeM002
C01	MeM003
D01	MeM004
E01	MeM005
F01	MeM006
G01	MeM007
H01	MeM008
A02	MeM009
B02	MeM010
C02	MeM011
D02	MeM012
E02	MeM013
F02	MeM014
G02	MeM015
H02	MeM016
A03	MeM017
B03	MeM018
C03	MeM019
D03	MeM020
E03	MeM021
F03	MeM022
G03	MeM023
H03	MeM024
A04	MeM025
B04	MeM026
C04	MeM027
D04	MeM028
E04	MeM029
F04	MeM030
G04	MeM031
H04	MeM032
A05	MeM033
B05	MeM034
C05	MeM035
D05	MeM036
E05	MeM037
F05	MeM038
G05	MeM039
H05	MeM040
A06	MeM041
B06	MeM042
C06	MeM043
D06	MeM044
E06	MeM045
F06	MeM046
G06	MeM047
H06	MeM048
A07	MeM049
B07	MeM050
C07	MeM051
D07	MeM052
E07	MeM053
F07	MeM054
G07	MeM055
H07	MeM056
A08	MeM057
B08	MeM058
C08	MeM059
D08	MeM060
E08	MeM061
F08	MeM062
G08	MeM063
H08	MeM064
A09	MeM065
B09	MeM066
C09	MeM067
D09	MeM068
E09	MeM069
F09	MeM070
G09	MeM071
H09	MeM072
A10	MeM073
B10	MeM074
C10	MeM075
D10	MeM076
E10	MeM077
F10	MeM078
G10	MeM079
H10	MeM080
A11	MeM081
B11	MeM082
C11	MeM083
D11	MeM084
E11	MeM085
F11	MeM086
G11	MeM087
H11	MeM088
A12	MeM089
B12	MeM090
C12	MeM091
D12	MeM092
E12	MeM093
F12	MeM094
G12	No Tube
H12	No Tube
