Rack: MiO_Training_P01
A01	MiO001
B01	MiO002
C01	MiO003
D01	MiO004
E01	MiO005
F01	MiO006
G01	MiO007
H01	MiO008
A02	MiO009
B02	MiO010
C02	MiO011
D02	MiO012
E02	MiO013
F02	MiO014
G02	MiO015
H02	MiO016
A03	MiO017
B03	MiO018
C03	MiO019
D03	MiO020
E03	MiO021
F03	MiO022
G03	MiO023
H03	MiO024
A04	MiO025
B04	MiO026
C04	MiO027
D04	MiO028
E04	MiO029
F04	MiO030
G04	MiO031
H04	MiO032
A05	MiO033
B05	MiO034
C05	MiO035
D05	MiO036
E05	MiO037
F05	MiO038
G05	MiO039
H05	MiO040
A06	MiO041
B06	MiO042
C06	MiO043
D06	MiO044
E06	MiO045
F06	MiO046
G06	MiO047
H06	MiO048
A07	MiO049
B07	MiO050
C07	MiO051
D07	MiO052
E07	MiO053
F07	MiO054
G07	MiO055
H07	MiO056
A08	MiO057
B08	MiO058
C08	MiO059
D08	MiO060
E08	MiO061
F08	MiO062
G08	MiO063
H08	MiO064
A09	MiO065
B09	MiO066
C09	MiO067
D09	MiO068
E09	MiO069
F09	MiO070
G09	MiO071
H09	MiO072
A10	MiO073
B10	MiO074
C10	MiO075
D10	MiO076
E10	MiO077
F10	MiO078
G10	MiO079
H10	MiO080
A11	MiO081
B11	MiO082
C11	MiO083
D11	MiO084
E11	MiO085
F11	MiO086
G11	MiO087
H11	MiO088
A12	MiO089
B12	MiO090
C12	MiO091
D12	MiO092
E12	MiO093
F12	MiO094
G12	No Tube
H12	No Tube
