Rack: MoV_Training_P01
A01	MoV001
B01	MoV002
C01	MoV003
D01	MoV004
E01	MoV005
F01	MoV006
G01	MoV007
H01	MoV008
A02	MoV009
B02	MoV010
C02	MoV011
D02	MoV012
E02	MoV013
F02	MoV014
G02	MoV015
H02	MoV016
A03	MoV017
B03	MoV018
C03	MoV019
D03	MoV020
E03	MoV021
F03	MoV022
G03	MoV023
H03	MoV024
A04	MoV025
B04	MoV026
C04	MoV027
D04	MoV028
E04	MoV029
F04	MoV030
G04	MoV031
H04	MoV032
A05	MoV033
B05	MoV034
C05	MoV035
D05	MoV036
E05	MoV037
F05	MoV038
G05	MoV039
H05	MoV040
A06	MoV041
B06	MoV042
C06	MoV043
D06	MoV044
E06	MoV045
F06	MoV046
G06	MoV047
H06	MoV048
A07	MoV049
B07	MoV050
C07	MoV051
D07	MoV052
E07	MoV053
F07	MoV054
G07	MoV055
H07	MoV056
A08	MoV057
B08	MoV058
C08	MoV059
D08	MoV060
E08	MoV061
F08	MoV062
G08	MoV063
H08	MoV064
A09	MoV065
B09	MoV066
C09	MoV067
D09	MoV068
E09	MoV069
F09	MoV070
G09	MoV071
H09	MoV072
A10	MoV073
B10	MoV074
C10	MoV075
D10	MoV076
E10	MoV077
F10	MoV078
G10	MoV079
H10	MoV080
A11	MoV081
B11	MoV082
C11	MoV083
D11	MoV084
E11	MoV085
F11	MoV086
G11	MoV087
H11	MoV088
A12	MoV089
B12	MoV090
C12	MoV091
D12	MoV092
E12	MoV093
F12	MoV094
G12	No Tube
H12	No Tube
