Rack: NiA_Training_P01
A01	NiA001
B01	NiA002
C01	NiA003
D01	NiA004
E01	NiA005
F01	NiA006
G01	NiA007
H01	NiA008
A02	NiA009
B02	NiA010
C02	NiA011
D02	NiA012
E02	NiA013
F02	NiA014
G02	NiA015
H02	NiA016
A03	NiA017
B03	NiA018
C03	NiA019
D03	NiA020
E03	NiA021
F03	NiA022
G03	NiA023
H03	NiA024
A04	NiA025
B04	NiA026
C04	NiA027
D04	NiA028
E04	NiA029
F04	NiA030
G04	NiA031
H04	NiA032
A05	NiA033
B05	NiA034
C05	NiA035
D05	NiA036
E05	NiA037
F05	NiA038
G05	NiA039
H05	NiA040
A06	NiA041
B06	NiA042
C06	NiA043
D06	NiA044
E06	NiA045
F06	NiA046
G06	NiA047
H06	NiA048
A07	NiA049
B07	NiA050
C07	NiA051
D07	NiA052
E07	NiA053
F07	NiA054
G07	NiA055
H07	NiA056
A08	NiA057
B08	NiA058
C08	NiA059
D08	NiA060
E08	NiA061
F08	NiA062
G08	NiA063
H08	NiA064
A09	NiA065
B09	NiA066
C09	NiA067
D09	NiA068
E09	NiA069
F09	NiA070
G09	NiA071
H09	NiA072
A10	NiA073
B10	NiA074
C10	NiA075
D10	NiA076
E10	NiA077
F10	NiA078
G10	NiA079
H10	NiA080
A11	NiA081
B11	NiA082
C11	NiA083
D11	NiA084
E11	NiA085
F11	NiA086
G11	NiA087
H11	NiA088
A12	NiA089
B12	NiA090
C12	NiA091
D12	NiA092
E12	NiA093
F12	NiA094
G12	No Tube
H12	No Tube
