Rack: NiR_Training_P01
A01	NiR001
B01	NiR002
C01	NiR003
D01	NiR004
E01	NiR005
F01	NiR006
G01	NiR007
H01	NiR008
A02	NiR009
B02	NiR010
C02	NiR011
D02	NiR012
E02	NiR013
F02	NiR014
G02	NiR015
H02	NiR016
A03	NiR017
B03	NiR018
C03	NiR019
D03	NiR020
E03	NiR021
F03	NiR022
G03	NiR023
H03	NiR024
A04	NiR025
B04	NiR026
C04	NiR027
D04	NiR028
E04	NiR029
F04	NiR030
G04	NiR031
H04	NiR032
A05	NiR033
B05	NiR034
C05	NiR035
D05	NiR036
E05	NiR037
F05	NiR038
G05	NiR039
H05	NiR040
A06	NiR041
B06	NiR042
C06	NiR043
D06	NiR044
E06	NiR045
F06	NiR046
G06	NiR047
H06	NiR048
A07	NiR049
B07	NiR050
C07	NiR051
D07	NiR052
E07	NiR053
F07	NiR054
G07	NiR055
H07	NiR056
A08	NiR057
B08	NiR058
C08	NiR059
D08	NiR060
E08	NiR061
F08	NiR062
G08	NiR063
H08	NiR064
A09	NiR065
B09	NiR066
C09	NiR067
D09	NiR068
E09	NiR069
F09	NiR070
G09	NiR071
H09	NiR072
A10	NiR073
B10	NiR074
C10	NiR075
D10	NiR076
E10	NiR077
F10	NiR078
G10	NiR079
H10	NiR080
A11	NiR081
B11	NiR082
C11	NiR083
D11	NiR084
E11	NiR085
F11	NiR086
G11	NiR087
H11	NiR088
A12	NiR089
B12	NiR090
C12	NiR091
D12	NiR092
E12	NiR093
F12	NiR094
G12	No Tube
H12	No Tube
