Rack: ReM_Training_P01
A01	ReM001
B01	ReM002
C01	ReM003
D01	ReM004
E01	ReM005
F01	ReM006
G01	ReM007
H01	ReM008
A02	ReM009
B02	ReM010
C02	ReM011
D02	ReM012
E02	ReM013
F02	ReM014
G02	ReM015
H02	ReM016
A03	ReM017
B03	ReM018
C03	ReM019
D03	ReM020
E03	ReM021
F03	ReM022
G03	ReM023
H03	ReM024
A04	ReM025
B04	ReM026
C04	ReM027
D04	ReM028
E04	ReM029
F04	ReM030
G04	ReM031
H04	ReM032
A05	ReM033
B05	ReM034
C05	ReM035
D05	ReM036
E05	ReM037
F05	ReM038
G05	ReM039
H05	ReM040
A06	ReM041
B06	ReM042
C06	ReM043
D06	ReM044
E06	ReM045
F06	ReM046
G06	ReM047
H06	ReM048
A07	ReM049
B07	ReM050
C07	ReM051
D07	ReM052
E07	ReM053
F07	ReM054
G07	ReM055
H07	ReM056
A08	ReM057
B08	ReM058
C08	ReM059
D08	ReM060
E08	ReM061
F08	ReM062
G08	ReM063
H08	ReM064
A09	ReM065
B09	ReM066
C09	ReM067
D09	ReM068
E09	ReM069
F09	ReM070
G09	ReM071
H09	ReM072
A10	ReM073
B10	ReM074
C10	ReM075
D10	ReM076
E10	ReM077
F10	ReM078
G10	ReM079
H10	ReM080
A11	ReM081
B11	ReM082
C11	ReM083
D11	ReM084
E11	ReM085
F11	ReM086
G11	ReM087
H11	ReM088
A12	ReM089
B12	ReM090
C12	ReM091
D12	ReM092
E12	ReM093
F12	ReM094
G12	No Tube
H12	No Tube
