Rack: ShD_Training_P01
A01	ShD001
B01	ShD002
C01	ShD003
D01	ShD004
E01	ShD005
F01	ShD006
G01	ShD007
H01	ShD008
A02	ShD009
B02	ShD010
C02	ShD011
D02	ShD012
E02	ShD013
F02	ShD014
G02	ShD015
H02	ShD016
A03	ShD017
B03	ShD018
C03	ShD019
D03	ShD020
E03	ShD021
F03	ShD022
G03	ShD023
H03	ShD024
A04	ShD025
B04	ShD026
C04	ShD027
D04	ShD028
E04	ShD029
F04	ShD030
G04	ShD031
H04	ShD032
A05	ShD033
B05	ShD034
C05	ShD035
D05	ShD036
E05	ShD037
F05	ShD038
G05	ShD039
H05	ShD040
A06	ShD041
B06	ShD042
C06	ShD043
D06	ShD044
E06	ShD045
F06	ShD046
G06	ShD047
H06	ShD048
A07	ShD049
B07	ShD050
C07	ShD051
D07	ShD052
E07	ShD053
F07	ShD054
G07	ShD055
H07	ShD056
A08	ShD057
B08	ShD058
C08	ShD059
D08	ShD060
E08	ShD061
F08	ShD062
G08	ShD063
H08	ShD064
A09	ShD065
B09	ShD066
C09	ShD067
D09	ShD068
E09	ShD069
F09	ShD070
G09	ShD071
H09	ShD072
A10	ShD073
B10	ShD074
C10	ShD075
D10	ShD076
E10	ShD077
F10	ShD078
G10	ShD079
H10	ShD080
A11	ShD081
B11	ShD082
C11	ShD083
D11	ShD084
E11	ShD085
F11	ShD086
G11	ShD087
H11	ShD088
A12	ShD089
B12	ShD090
C12	ShD091
D12	ShD092
E12	ShD093
F12	ShD094
G12	No Tube
H12	No Tube
