Rack: SuP_Training_P01
A01	SuP001
B01	SuP002
C01	SuP003
D01	SuP004
E01	SuP005
F01	SuP006
G01	SuP007
H01	SuP008
A02	SuP009
B02	SuP010
C02	SuP011
D02	SuP012
E02	SuP013
F02	SuP014
G02	SuP015
H02	SuP016
A03	SuP017
B03	SuP018
C03	SuP019
D03	SuP020
E03	SuP021
F03	SuP022
G03	SuP023
H03	SuP024
A04	SuP025
B04	SuP026
C04	SuP027
D04	SuP028
E04	SuP029
F04	SuP030
G04	SuP031
H04	SuP032
A05	SuP033
B05	SuP034
C05	SuP035
D05	SuP036
E05	SuP037
F05	SuP038
G05	SuP039
H05	SuP040
A06	SuP041
B06	SuP042
C06	SuP043
D06	SuP044
E06	SuP045
F06	SuP046
G06	SuP047
H06	SuP048
A07	SuP049
B07	SuP050
C07	SuP051
D07	SuP052
E07	SuP053
F07	SuP054
G07	SuP055
H07	SuP056
A08	SuP057
B08	SuP058
C08	SuP059
D08	SuP060
E08	SuP061
F08	SuP062
G08	SuP063
H08	SuP064
A09	SuP065
B09	SuP066
C09	SuP067
D09	SuP068
E09	SuP069
F09	SuP070
G09	SuP071
H09	SuP072
A10	SuP073
B10	SuP074
C10	SuP075
D10	SuP076
E10	SuP077
F10	SuP078
G10	SuP079
H10	SuP080
A11	SuP081
B11	SuP082
C11	SuP083
D11	SuP084
E11	SuP085
F11	SuP086
G11	SuP087
H11	SuP088
A12	SuP089
B12	SuP090
C12	SuP091
D12	SuP092
E12	SuP093
F12	SuP094
G12	No Tube
H12	No Tube
