Rack: YaC_Training_P01
A01	YaC001
B01	YaC002
C01	YaC003
D01	YaC004
E01	YaC005
F01	YaC006
G01	YaC007
H01	YaC008
A02	YaC009
B02	YaC010
C02	YaC011
D02	YaC012
E02	YaC013
F02	YaC014
G02	YaC015
H02	YaC016
A03	YaC017
B03	YaC018
C03	YaC019
D03	YaC020
E03	YaC021
F03	YaC022
G03	YaC023
H03	YaC024
A04	YaC025
B04	YaC026
C04	YaC027
D04	YaC028
E04	YaC029
F04	YaC030
G04	YaC031
H04	YaC032
A05	YaC033
B05	YaC034
C05	YaC035
D05	YaC036
E05	YaC037
F05	YaC038
G05	YaC039
H05	YaC040
A06	YaC041
B06	YaC042
C06	YaC043
D06	YaC044
E06	YaC045
F06	YaC046
G06	YaC047
H06	YaC048
A07	YaC049
B07	YaC050
C07	YaC051
D07	YaC052
E07	YaC053
F07	YaC054
G07	YaC055
H07	YaC056
A08	YaC057
B08	YaC058
C08	YaC059
D08	YaC060
E08	YaC061
F08	YaC062
G08	YaC063
H08	YaC064
A09	YaC065
B09	YaC066
C09	YaC067
D09	YaC068
E09	YaC069
F09	YaC070
G09	YaC071
H09	YaC072
A10	YaC073
B10	YaC074
C10	YaC075
D10	YaC076
E10	YaC077
F10	YaC078
G10	YaC079
H10	YaC080
A11	YaC081
B11	YaC082
C11	YaC083
D11	YaC084
E11	YaC085
F11	YaC086
G11	YaC087
H11	YaC088
A12	YaC089
B12	YaC090
C12	YaC091
D12	YaC092
E12	YaC093
F12	YaC094
G12	No Tube
H12	No Tube
