Rack: YvL_Training_P01
A01	YvL001
B01	YvL002
C01	YvL003
D01	YvL004
E01	YvL005
F01	YvL006
G01	YvL007
H01	YvL008
A02	YvL009
B02	YvL010
C02	YvL011
D02	YvL012
E02	YvL013
F02	YvL014
G02	YvL015
H02	YvL016
A03	YvL017
B03	YvL018
C03	YvL019
D03	YvL020
E03	YvL021
F03	YvL022
G03	YvL023
H03	YvL024
A04	YvL025
B04	YvL026
C04	YvL027
D04	YvL028
E04	YvL029
F04	YvL030
G04	YvL031
H04	YvL032
A05	YvL033
B05	YvL034
C05	YvL035
D05	YvL036
E05	YvL037
F05	YvL038
G05	YvL039
H05	YvL040
A06	YvL041
B06	YvL042
C06	YvL043
D06	YvL044
E06	YvL045
F06	YvL046
G06	YvL047
H06	YvL048
A07	YvL049
B07	YvL050
C07	YvL051
D07	YvL052
E07	YvL053
F07	YvL054
G07	YvL055
H07	YvL056
A08	YvL057
B08	YvL058
C08	YvL059
D08	YvL060
E08	YvL061
F08	YvL062
G08	YvL063
H08	YvL064
A09	YvL065
B09	YvL066
C09	YvL067
D09	YvL068
E09	YvL069
F09	YvL070
G09	YvL071
H09	YvL072
A10	YvL073
B10	YvL074
C10	YvL075
D10	YvL076
E10	YvL077
F10	YvL078
G10	YvL079
H10	YvL080
A11	YvL081
B11	YvL082
C11	YvL083
D11	YvL084
E11	YvL085
F11	YvL086
G11	YvL087
H11	YvL088
A12	YvL089
B12	YvL090
C12	YvL091
D12	YvL092
E12	YvL093
F12	YvL094
G12	No Tube
H12	No Tube
